"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"M2-SAFIRe_model.nlogo"
"replication_treeKillers"
"06/12/2024 10:57:38:325 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","engagés-initiaux","nombre-bergers","proba-denonce","proba-discu","fréquence-réu","q-présence-brousse","nb-proTG-max","nb-coupeurs","coordination-RNA","participants","tps-au-champ","[step]","%-under-tree","coupeurs-attrapes","age-moy-arb","nb-arbres","pouss","pouss-prot","pouss-inter-prot","MoyN-interet-RNA","nb-engages","stock-mil-g","nbTreekilled_hearder","nbTreekilled_cutter","nbTreekilled_grower"
"29","9","5","90","80","8","0.7","25","10","true","10","10","10192","18.740000000000002","0","[91 95 90 87 91 91 97 88 96 100 97 92 95 87 99 93 93 93 90 87 90 91 91 99 99 96 93 91 96 94 90 91 100 91 94 90 94 92 87 90 94 93 92 90 89 97 97 89 94 96 94]","51","106","106","2","102.14725274726338","83","42181.13199999831","1360","4186","11596"
"3","9","5","90","80","8","0.7","25","10","true","10","10","10192","17.23","0","[93 92 88 89 95 100 94 92 95 99 95 94 93 94 88 92 98 91 92 100 90 89 91 98 91 98 99 87 94]","29","7","7","1","184.04086021506484","91","41122.94159999818","1365","3963","9792"
"34","9","5","90","80","8","0.7","25","10","true","10","30","10192","18.2","0","[95 91 95 92 92 97 94 90 89 87 100 100 91 87 100 100 91 92 95 97 89 95 91 87 96 91 93 99 95 94 97 100 95 88 89 96 94 88 95 99 90 89 87 87 94 99 95 98 91 94 99 94 87 87 87]","55","78","78","4","105.48750000000615","84","41978.307999998295","3378","3675","10179"
"26","9","5","90","80","8","0.7","25","10","true","10","10","10192","20.77","0","[92 96 96 95 99 97 98 98 94 87 97 89 90 87 92 96 100 99 88 90 92 92 100 97 87 90 88 89 91 94 92 88 99 92 98 90 98 97 100 95 100 90 96 97 87 92 94 88 92 89 93 91 87 96 96 93 100 89 90 88 92 88 91 90 88 91 97 92 94 93 88 99 100 94]","74","99","92","0","92.26593406593982","83","41588.18479999835","1646","4204","12080"
"31","9","5","90","80","8","0.7","25","10","true","10","30","10192","19.37","0","[97 91 89 99 94 90 100 99 88 89 95 90 92 97 100 93 97 90 100 87 99 98 100 95 92 98 100 88 90 89 88 92 88 93 97 87 100 97 88 91 94 87 98 87 96 88 95 94 92 89 98 91 100 95 89 100 97 94 88 98 96 91 98 88 91 92 89 95 91 91 94 91 97]","73","93","93","3","28.019354838710267","17","42172.11759999839","3349","3756","9914"
"36","9","5","90","80","8","0.7","25","10","true","10","30","10192","18.22","0","[89 93 93 99 97 99 98 95 88 96 92 94 100 98 90 98 88 87 96 88 87 89 92 94 92 94 95 95 94 96 88 91 96 100 97 89 99 89 90 100 91 93 91 90 92 87 98 94 98 87 91 90 94 98 99 100 96 100 100 89]","60","77","73","4","46.46000000000333","46","41046.31919999829","3446","3714","10198"
"30","9","5","90","80","8","0.7","25","10","true","10","10","10192","17.23","0","[99 94 99 94 89 97 88 98 91 88 88 88 93 88 99 99 97 95 93 92 94 98 88 91 92 96 94 95 97 90 96 96 92 100 91]","35","3","3","0","118.83404255319886","91","41671.567999998406","1647","3998","10192"
"37","9","5","90","80","8","0.7","25","10","true","10","30","10192","16.16","0","[95 100 98 98 96 96 94 95 97 90 96 93 89 89 90 92 93 99 89 96 99 89 94 89 89 100 89 88 92 96 100 88 94 99]","34","21","21","0","39.81318681318892","46","41429.93199999835","3222","3522","9382"
"2","9","5","90","80","8","0.7","25","10","true","10","10","10192","18.54","0","[93 90 94 99 94 100 91 88 98 90 92 91 99 88 99 95 99 98 89 92 99 97 94 99 97 95 88 87 93 94 87 91 97 95 99 89 95 89 91 91 92 89 93 88 100 99 96 91]","48","38","37","0","106.48297872341021","90","41960.02879999837","1567","4107","10883"
"62","9","5","90","80","8","0.7","25","10","true","10","60","10192","14.27","0","[97 88 100 97 99 90 93 96]","8","3","3","0","479.4337078651728","89","41630.25199999856","3262","2363","7304"
"61","9","5","90","80","8","0.7","25","10","true","10","60","10192","15.590000000000002","0","[92 95 93 97 99 92 98 87 95 99 100 92 89 97 98 90 91 94 92]","19","3","3","0","242.57701149425873","84","41622.2391999984","4062","2777","8643"
"65","9","5","90","80","8","0.7","25","10","true","10","60","10192","18.57","0","[88 95 93 97 98 98 96 95 100 99 100 94 92 93 88 95 92 96 95 96 93 98 97 97 95 90 91 100 95 96 100 89 100 87 89 98 88 94 96 94 91 88 90 87 87 100]","46","29","29","0","34.328089887642484","27","42524.680799998576","3719","3364","9358"
"79","9","5","90","80","8","0.7","25","10","true","10","60","10192","19.73","0","[98 99 96 91 97 94 88 88 90 88 97 88 95 98 88 90 99 88 91 94 90 92 90 94 88 97 97 90 88 90 98 87 95 87 99 94 92 94 98 89 93 92 97 89 97]","45","23","23","1","18.45238095238217","23","42103.507999998285","3852","3171","9244"
"63","9","5","90","80","8","0.7","25","10","true","10","60","10192","21.029999999999998","0","[100 98 95 95 89 100 96 91 96 91 92 89 89 94 98 93 100 98 89 95 95 88 99 98 94 94 91 99 98 100 91 98 94 94 94 98 95 93 88 98 87 89 99 90 89 87 91 95 98]","49","38","38","0","149.42197802198316","81","41757.70559999824","4408","2845","9666"
"82","9","5","90","80","8","0.7","25","10","true","10","60","10192","15.98","0","[88 93 87 89 91 93 93 89 88 90 95 88 91 89 89 100 87 89 99 89 87 90]","22","3","3","0","328.64782608696163","92","41997.08799999848","3533","2731","9059"
"69","9","5","90","80","8","0.7","25","10","true","10","60","10192","18.63","0","[91 96 96 89 87 89 92 92 92 97 94 90 96 97 93 90 100 88 92 92 93 100 93 97 100 93 91 90 91 89 89 97 91 100 90 99 88 89 95 87 100 88 89 96 94 93]","46","69","69","9","11.738461538462099","7","42599.049599998645","3932","3383","9766"
"75","9","5","90","80","8","0.7","25","10","true","10","60","10192","16.470000000000002","0","[95 94 99 89 100 94 87 93 99 87 97 92 97 100 94 95 95 97 92 89 94 93 94 91 91 95 91 89 87 96 88 92 97 88 93 97 88 92 89 89 98 88 87 89 93 87 87 100]","48","10","10","1","78.66382978723809","52","41460.480799998375","3500","3163","9705"
"73","9","5","90","80","8","0.7","25","10","true","10","60","10192","19.37","0","[88 91 99 95 98 91 93 91 87 98 98 93 94 91 87 92 100 88 90 98 96 95 100 94 89 91 95 99 95 98 96 87 99 99 88 98 95 96 87 90 98 96 96 89 95 98 87 97 88 93 93 92 95 97 87 92 99 98]","58","96","96","0","82.25842696629593","66","42085.4791999983","4228","2826","10009"
"68","9","5","90","80","8","0.7","25","10","true","10","60","10192","21.91","0","[99 100 94 93 98 95 90 100 100 97 97 97 88 96 96 90 92 92 95 100 94 97 87 93 87 89 88 92 89 90 95 99 88 94 91 97 92 89 98 95 97 97 93 94 91 93 97 96 96 100 88 96 94 92 89 93 96 89 95 88 92 97 99 94 96 96 100 100 98 93 98 93 98 92 92 96 99 96 100 95 94 97 100 92 98 95 99 98 95 95 87 89 87 99 91 91 92 93 93 91 87 91 94 97 90 87 94 94 99 95]","110","313","241","10","29.565517241379162","0","42032.14399999827","4550","3119","10992"
"80","9","5","90","80","8","0.7","25","10","true","10","60","10192","14.979999999999999","0","[100 99 90 96 99 95 93 100 96 97]","10","0","0","0","443.11397849462804","93","41264.66799999858","3073","2796","7790"
"90","9","5","90","80","8","0.7","25","10","true","10","60","10192","13.200000000000001","0","[93 90 89 91 93 92 98 92 100 100 98 88 100 94 99 90 94 92 91 91]","20","3","3","0","318.1868131868202","91","40857.51759999841","3735","2871","8745"
"97","9","5","90","80","8","0.7","25","10","true","10","99","10192","17.990000000000002","0","[87 96 93 94 97 97 89 91 98 100 90 97 87 92 90 87 92 91 91 98 96 100 90 89 100 99 89 98 98 91 89 87 100 99 87 98 87 90 99 91 95 91]","42","18","18","0","223.2988505747155","83","41849.60239999842","3864","2938","9396"
"78","9","5","90","80","8","0.7","25","10","true","10","60","10192","16.41","0","[98 99 87 91 97 91 95 89 90 98 94 97 93 88 95 95]","16","0","0","0","342.2739130434851","92","42605.810399998605","3259","2980","8106"
"72","9","5","90","80","8","0.7","25","10","true","10","60","10192","20.29","0","[87 97 89 100 98 100 100 98 91 88 88 91 92 92 97 91 89 100 94 91 96 87 94 97 97 98 100 93 91 89 94 99 100 97 87 93 95 94 100 92 89 98 96 87 90 88 100 89 93 95 98 93 92 91 99 91 97 99 99 87 87 100 88 88 99 88 92 96 87 100 89 88 98]","73","145","137","6","25.663043478260825","1","41231.36479999822","4187","3407","10571"
"86","9","5","90","80","8","0.7","25","10","true","10","60","10192","19.36","0","[97 98 88 97 96 93 89 98 94 96 96 91 94 88 93 90 88 87 87 88 89 91 97 93 94 100 99 99 89 93 100 95 94 94 88 96 87 99 95 99 93 93 90 100 89 88 90 99 93 97 100 97]","52","10","10","1","167.9384615384671","84","42036.90159999842","4081","2806","9103"
