"BehaviorSpace results (NetLogo 6.2.2)"
"/home/ummisco/Etienne/real-tree-model-main/M0-tree-model3-régénération_wa_moran.nlogo"
"Exploration2(Surveillance-déléguée)"
"08/13/2022 21:36:40:118 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","nb-surveillants","engagés-initiaux","coordination-RNA","nombre-bergers","proba-discu","S-reprez","S-pop","proba-denonce","fréquence-réu","q-présence-brousse","nb-proTG-max","nb-coupeurs","participants","tps-au-champ","[step]","%-under-tree","coupeurs-attrapes","age-moy-arb","nb-arbres","init-nb-arbre","delat-Nb-arbres","pouss","pouss-prot","pouss-inter-prot","MoyN-interet-RNA","nb-engages"
"189","1","9","false","5","80","true","false","80","2","0.1","25","10","10","80","8396","43.79","194","41.224074074074075","540","535","5","2507","1473","571","150.9482352941311","62"
"169","1","9","false","5","80","true","false","80","2","0.1","25","10","10","10","8396","46.339999999999996","194","31.586583463338535","641","535","106","2375","957","493","567.0869565217172","92"
"161","1","9","false","5","80","true","false","80","2","0.1","25","10","10","10","8396","46.56","184","37.50084889643463","589","535","54","2279","988","522","570.027659574445","93"
"154","1","9","false","5","50","true","false","80","8","0.1","25","10","10","80","8396","67.38","212","21.276934749620636","1318","535","783","5600","1975","1033","70.5822222222235","90"
"180","1","9","false","5","80","true","false","80","2","0.1","25","10","10","10","8396","47.12","195","33.84417549167927","661","535","126","2537","1007","526","545.9422222222056","90"
"175","1","9","false","5","80","true","false","80","2","0.1","25","10","10","10","8396","52.290000000000006","196","33.28512960436562","733","535","198","2854","1040","606","635.299999999964","92"
"173","1","9","false","5","80","true","false","80","2","0.1","25","10","10","10","8396","46.72","199","33.601208459214504","662","535","127","2552","1076","636","615.8559139784655","93"
"178","1","9","false","5","80","true","false","80","2","0.1","25","10","10","10","8396","40.52","190","47.32193158953722","497","535","-38","2106","997","571","572.0817204300806","93"
"170","1","9","false","5","80","true","false","80","2","0.1","25","10","10","10","8396","46.089999999999996","183","33.47001620745543","617","535","82","2257","946","502","585.4813186812927","91"
"164","1","9","false","5","80","true","false","80","2","0.1","25","10","10","10","8396","49.04","180","31.754609929078015","705","535","170","2624","1009","565","625.2107526881426","93"
"166","1","9","false","5","80","true","false","80","2","0.1","25","10","10","10","8396","46.88","198","32.673699015471165","711","535","176","2603","1053","600","617.3020833332997","96"
"179","1","9","false","5","80","true","false","80","2","0.1","25","10","10","10","8396","46.050000000000004","199","33.63694267515923","628","535","93","2294","932","534","607.4288888888589","88"
"148","1","9","false","5","50","true","false","80","8","0.1","25","10","10","80","8396","70.07","209","18.34623082054703","1499","535","964","6336","2088","1159","81.56989247311972","92"
"165","1","9","false","5","80","true","false","80","2","0.1","25","10","10","10","8396","48.11","189","34.77635782747604","626","535","91","2359","1036","572","592.307692307674","91"
"147","1","9","false","5","50","true","false","80","8","0.1","25","10","10","80","8396","72.28999999999999","209","17.262334536702767","1662","535","1127","6623","1978","1017","73.309890109892","91"
"177","1","9","false","5","80","true","false","80","2","0.1","25","10","10","10","8396","45.67","197","34.50317460317461","630","535","95","2448","1039","615","577.3333333333105","93"
