"BehaviorSpace results (NetLogo 6.2.2)"
"M0poursimu.nlogo"
"calibration-surveillant"
"08/01/2022 10:09:37:146 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","nb-surveillants","engagés-initiaux","coordination-RNA","nombre-bergers","proba-discu","S-pop","RNA","proba-denonce","nb-champs-visités","fréquence-réu","q-présence-brousse","nb-proTG-max","nb-coupeurs","S-repreZ","tps-au-champ","participants","malus-nb-chps","[step]","%-under-tree","coupeurs-attrapes","nb-arbres","MoyN-interet-RNA","nb-engages","delta-mil"
"84","1","9","true","5","60","false","true","80","11","1","0.31","25","10","true","50","10","0.41","5460","36.870000000000005","39","356","1.202272727272708","0","-211.23743999999277"
"86","1","9","true","5","60","false","true","80","11","1","0.31","25","10","true","50","10","0.51","5460","35.980000000000004","116","364","25.849462365591695","8","-146.3337599999737"
"82","1","9","true","5","60","false","true","80","11","1","0.31","25","10","true","50","10","0.41","5460","36.88","133","371","39.2857142857155","32","-23.068099999987318"
"87","1","9","true","5","60","false","true","80","11","1","0.31","25","10","true","50","10","0.51","5460","34.9","12","343","0.8521739130434609","0","-26.104199999981937"
"85","1","9","true","5","60","false","true","80","11","1","0.31","25","10","true","50","10","0.41","5460","36.29","117","364","34.86666666666832","27","102.62018000003226"
"88","1","9","true","5","60","false","true","80","11","1","0.31","25","10","true","50","10","0.51","5460","36.75","47","357","1.2629213483145867","0","-105.11165999996301"
"89","1","9","true","5","60","false","true","80","11","1","0.31","25","10","true","50","10","0.51","5460","37.92","109","361","30.843010752688688","22","12.889340000005905"
"90","1","9","true","5","60","false","true","80","11","1","0.31","25","10","true","50","10","0.51","5460","36.309999999999995","83","334","16.502222222222333","8","17.390280000014172"
"91","1","9","true","5","60","false","true","80","16","1","0.31","25","10","true","50","10","0.01","5460","41.11","150","584","203.50337078652566","82","-126.15777999997081"
"92","1","9","true","5","60","false","true","80","16","1","0.31","25","10","true","50","10","0.01","5460","47.339999999999996","150","743","249.5600000000068","85","27.155879999976605"
"94","1","9","true","5","60","false","true","80","16","1","0.31","25","10","true","50","10","0.01","5460","46.7","150","713","224.7395833333453","94","-54.587200000021404"
"95","1","9","true","5","60","false","true","80","16","1","0.31","25","10","true","50","10","0.01","5460","46.94","150","684","226.0921348314668","86","86.20645999997869"
"93","1","9","true","5","60","false","true","80","16","1","0.31","25","10","true","50","10","0.01","5460","45.23","150","613","191.32527472528648","90","-66.13064000002342"
"96","1","9","true","5","60","false","true","80","16","1","0.31","25","10","true","50","10","0.11","5460","40.22","150","506","93.69750000000536","76","-233.53555999999517"
"97","1","9","true","5","60","false","true","80","16","1","0.31","25","10","true","50","10","0.11","5460","41.980000000000004","150","491","131.06736842105494","37","95.62149999998364"
"98","1","9","true","5","60","false","true","80","16","1","0.31","25","10","true","50","10","0.11","5460","40.300000000000004","150","493","128.52688172043713","90","16.056900000017777"
"99","1","9","true","5","60","false","true","80","16","1","0.31","25","10","true","50","10","0.11","5460","42.95","150","512","92.79090909091535","84","3.662099999968632"
"100","1","9","true","5","60","false","true","80","16","1","0.31","25","10","true","50","10","0.11","5460","40.43","150","528","116.25652173913548","77","27.65042000002286"
"101","1","9","true","5","60","false","true","80","16","1","0.31","25","10","true","50","10","0.21","5460","34.58","60","328","1.1560439560439393","0","51.41338000007018"
"104","1","9","true","5","60","false","true","80","16","1","0.31","25","10","true","50","10","0.21","5460","37.92","148","415","37.37752808988881","33","52.82188000003298"
"103","1","9","true","5","60","false","true","80","16","1","0.31","25","10","true","50","10","0.21","5460","36.89","57","338","1.4129032258064285","0","-14.64839999998585"
"102","1","9","true","5","60","false","true","80","16","1","0.31","25","10","true","50","10","0.21","5460","37.51","150","400","96.42391304348094","56","97.21154000001916"
"105","1","9","true","5","60","false","true","80","16","1","0.31","25","10","true","50","10","0.21","5460","39.96","150","464","65.94347826087282","67","-152.47482000000454"
"106","1","9","true","5","60","false","true","80","16","1","0.31","25","10","true","50","10","0.31","5460","36.19","101","335","34.2382022471914","17","-90.70739999997095"
"108","1","9","true","5","60","false","true","80","16","1","0.31","25","10","true","50","10","0.31","5460","36.25","130","353","15.779545454545802","12","-14.823679999985325"
"107","1","9","true","5","60","false","true","80","16","1","0.31","25","10","true","50","10","0.31","5460","35.83","110","341","40.51034482758663","14","-88.05941999995193"
"109","1","9","true","5","60","false","true","80","16","1","0.31","25","10","true","50","10","0.31","5460","35.27","142","353","28.25161290322635","24","-64.02101999995793"
"110","1","9","true","5","60","false","true","80","16","1","0.31","25","10","true","50","10","0.31","5460","38.12","145","372","21.3599999999998","18","-135.61663999995872"
"111","1","9","true","5","60","false","true","80","16","1","0.31","25","10","true","50","10","0.41","5460","38.81","64","362","0.8580645161290185","0","-42.91855999996987"
"112","1","9","true","5","60","false","true","80","16","1","0.31","25","10","true","50","10","0.41","5460","37.14","114","368","20.80833333333424","10","-122.7398199999734"
"113","1","9","true","5","60","false","true","80","16","1","0.31","25","10","true","50","10","0.41","5460","36.42","138","350","37.31521739130532","33","-62.994379999978264"
"114","1","9","true","5","60","false","true","80","16","1","0.31","25","10","true","50","10","0.41","5460","35.74","93","358","33.53258426966289","11","-191.81891999997316"
"115","1","9","true","5","60","false","true","80","16","1","0.31","25","10","true","50","10","0.41","5460","34.71","130","360","32.35531914893734","21","-56.596659999968686"
"116","1","9","true","5","60","false","true","80","16","1","0.31","25","10","true","50","10","0.51","5460","37.86","107","361","18.68387096774223","9","18.241640000040206"
"117","1","9","true","5","60","false","true","80","16","1","0.31","25","10","true","50","10","0.51","5460","35.510000000000005","108","349","32.384946236560054","22","-15.437159999967117"
"118","1","9","true","5","60","false","true","80","16","1","0.31","25","10","true","50","10","0.51","5460","37.54","92","334","13.931818181818004","9","33.19678000000422"
"119","1","9","true","5","60","false","true","80","16","1","0.31","25","10","true","50","10","0.51","5460","35.870000000000005","110","349","24.163043478261354","21","-53.85477999997602"
"120","1","9","true","5","60","false","true","80","16","1","0.31","25","10","true","50","10","0.51","5460","34.57","94","346","18.823913043478647","15","-42.96237999997102"
"122","4","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.01","5460","37.580000000000005","81","332","14.705747126436759","9","-58.7813999999933"
"121","4","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.01","5460","38.14","59","371","15.505154639175801","9","-18.066359999990528"
"123","4","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.01","5460","36.09","91","335","11.615217391304473","9","-116.99939999997733"
"125","4","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.01","5460","33.650000000000006","23","344","0.8321839080459601","0","-26.041599999936444"
"127","4","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.11","5460","36.82","97","360","9.92808988764042","8","35.97622000002302"
