"BehaviorSpace results (NetLogo 6.2.2)"
"M0-tree-model3-régénération.nlogo"
"calibration-tpschamps"
"07/25/2022 09:49:45:167 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","nb-surveillants","engagés-initiaux","nombre-bergers","proba-discu","S-pop","RNA","proba-denonce","nb-champs-visités","fréquence-réu","q-présence-brousse","S-repreZ","nb-coupeurs","nb-proTG-max","coordination","indice-deseng","participants","tps-au-champ","[step]","%-under-tree","coupeurs-attrapes","nb-arbres","MoyN-interet-RNA","nb-engages","delta-mil"
"80","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","60","5460","37.5","0","349","0","0","-36.95277999998289"
"81","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","80","5460","38.79","0","365","0","0","-15.474719999980152"
"82","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","80","5460","35.89","0","341","0","0","-21.12749999996595"
"84","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","80","5460","34.83","0","337","0","0","55.238240000056976"
"83","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","80","5460","36.63","0","339","0","0","-203.9883599999768"
"86","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","100","5460","35.8","0","336","0","0","-53.13487999997451"
"85","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","80","5460","35.54","0","340","0","0","-24.964879999986444"
"88","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","100","5460","36.309999999999995","0","346","0","0","-72.5158399999651"
"87","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","100","5460","34.599999999999994","0","343","0","0","-69.11665999997567"
"89","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","100","5460","35.3","5","332","0","0","-2.9922799999651035"
"90","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","100","5460","36.230000000000004","10","359","0","0","-106.3448799999649"
"92","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","0","5460","32.86","0","344","0","0","-139.39767999997713"
"94","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","0","5460","37.36","0","346","0","0","-48.20825999999215"
"93","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","0","5460","36.79","0","350","0","0","-47.30681999997396"
"96","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","20","5460","36.4","0","329","0","0","-129.1500599999854"
"91","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","0","5460","37.08","0","359","0","0","-152.58123999998278"
"95","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","0","5460","35.11","0","346","0","0","10.973780000046826"
"97","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","20","5460","35.13","0","352","0","0","-22.98045999994938"
"98","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","20","5460","37.88","0","367","0","0","-65.18537999998588"
"100","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","20","5460","37.11","0","369","0","0","-38.4989999999656"
"102","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","40","5460","37.05","0","356","0","0","-15.956739999966521"
"99","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","20","5460","35.03","0","354","0","0","44.19560000002821"
"101","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","40","5460","36.29","0","360","0","0","-88.96085999998759"
"104","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","40","5460","35.92","0","350","0","0","-208.827339999978"
"103","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","40","5460","34.8","0","331","0","0","-91.32087999997457"
"105","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","40","5460","35.69","1","353","0","0","-124.0293799999752"
"106","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","60","5460","36.28","0","339","0","0","67.92100000003339"
"109","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","60","5460","34.88","0","347","0","0","-63.47013999995179"
"107","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","60","5460","35.260000000000005","0","350","0","0","-152.66887999996834"
"110","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","60","5460","35.730000000000004","0","342","0","0","-156.5250399999546"
"108","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","60","5460","35.5","0","334","0","0","-167.90571999997047"
"112","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","80","5460","36.59","0","351","0","0","20.933440000013796"
"111","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","80","5460","34.97","0","358","0","0","-47.394459999976974"
"114","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","80","5460","34.410000000000004","0","323","0","0","-256.4283799999888"
"115","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","80","5460","37.84","0","368","0","0","-209.44081999997798"
"113","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","80","5460","36.94","0","356","0","0","-94.80143999997672"
"116","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","100","5460","38.519999999999996","1","347","0","0","-71.96495999998588"
"117","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","100","5460","35.94","0","353","0","0","-90.45073999997403"
"118","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","100","5460","36.7","0","346","0","0","-120.41735999997181"
"119","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","100","5460","36.71","0","349","0","0","4.175420000041777"
"121","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.4","10","0","5460","36.720000000000006","0","355","0","0","-55.01913999997123"
"120","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","100","5460","34.43","0","324","0","0","-28.27641999995758"
"123","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.4","10","0","5460","36.29","0","333","0","0","-146.77821999998704"
"122","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.4","10","0","5460","36.6","0","352","0","0","-92.41011999995825"
"124","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.4","10","0","5460","34.83","0","343","0","0","-110.38883999997415"
"125","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.4","10","0","5460","35.93","0","360","0","0","-133.10637999998943"
"126","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.4","10","20","5460","32.87","2","329","0","0","-170.16557999995638"
"127","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.4","10","20","5460","35.99","1","356","0","0","-55.80789999996487"
"128","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.4","10","20","5460","36.03","0","345","0","0","-160.4563199999793"
"129","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.4","10","20","5460","37.3","0","357","0","0","-206.0791999999805"
"131","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.4","10","40","5460","35.010000000000005","0","325","0","0","22.104060000030586"
"130","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.4","10","20","5460","36.43","0","339","0","0","-97.50575999996435"
"133","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.4","10","40","5460","38.07","0","361","0","0","43.00620000002819"
"132","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.4","10","40","5460","36.809999999999995","0","345","0","0","-13.753219999948488"
"134","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.4","10","40","5460","35.870000000000005","0","360","0","0","-33.10913999993718"
"135","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.4","10","40","5460","37.74","0","346","0","0","-24.432779999964986"
"136","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.4","10","60","5460","36.18","0","353","0","0","-181.49617999997864"
"137","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.4","10","60","5460","35.74","1","332","0","0","-187.6497599999624"
"138","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.4","10","60","5460","34.73","5","343","0","0","-65.27927999998283"
"139","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.4","10","60","5460","35.21","4","341","0","0","-13.62175999995161"
"142","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.4","10","80","5460","35.620000000000005","1","340","0","0","5.477500000024156"
"141","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.4","10","80","5460","35.42","0","349","0","0","-254.63175999996528"
"140","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.4","10","60","5460","35.05","0","356","0","0","-188.38217999997943"
"143","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.4","10","80","5460","35.339999999999996","0","335","0","0","-173.68995999999098"
"146","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.4","10","100","5460","36.55","0","346","0","0","-27.619119999979013"
"145","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.4","10","80","5460","34.910000000000004","0","354","0","0","-196.34489999999641"
"144","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.4","10","80","5460","34.21","2","334","0","0","-65.37317999996522"
"147","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.4","10","100","5460","34.82","0","358","0","0","-91.22697999995871"
"149","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.4","10","100","5460","35.68","0","354","0","0","-152.21189999998097"
"148","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.4","10","100","5460","35.25","0","351","0","0","-110.67679999996108"
"150","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.4","10","100","5460","35.38","0","351","0","0","-126.07639999997846"
"151","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.5","10","0","5460","37.25","0","337","0","0","-145.3008599999659"
"152","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.5","10","0","5460","35.91","0","342","0","0","-109.14935999997178"
"153","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.5","10","0","5460","36.620000000000005","0","357","0","0","28.601940000020114"
"154","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.5","10","0","5460","35.4","0","328","0","0","-31.756979999951728"
"157","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.5","10","20","5460","36.84","1","343","0","0","123.62248000004475"
"155","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.5","10","0","5460","34.83","0","333","0","0","-290.5265999999676"
"156","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.5","10","20","5460","35.38","0","354","0","0","-110.7644399999721"
"158","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.5","10","20","5460","34.88","0","346","0","0","-185.4837999999625"
"159","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.5","10","20","5460","37.31","0","361","0","0","-198.70491999998413"
"160","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.5","10","20","5460","34.449999999999996","0","359","0","0","-276.2600599999743"
"161","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.5","10","40","5460","35.76","0","340","0","0","-75.13251999995846"
"162","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.5","10","40","5460","33.7","3","318","0","0","-217.6038599999818"
"163","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.5","10","40","5460","37.92","0","365","0","0","-4.375739999964571"
