"BehaviorSpace results (NetLogo 6.2.2)"
"M0poursimu.nlogo"
"calibration-surveillance-déléguée"
"08/03/2022 09:29:14:545 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","nb-surveillants","coordination-RNA","engagés-initiaux","nombre-bergers","proba-discu","S-pop","RNA","proba-denonce","fréquence-réu","q-présence-brousse","S-repreZ","nb-coupeurs","nb-proTG-max","malus-nb-chps","tps-au-champ","participants","[step]","coupeurs-attrapes","nb-arbres","nb-engages","nb-coupe"
"120","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","152","551","96","59"
"124","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","149","387","46","156"
"123","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","150","414","56","159"
"127","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","83","362","0","135"
"125","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","150","433","69","154"
"128","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","128","366","34","188"
"126","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","150","491","66","130"
"129","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","150","411","65","203"
"130","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","94","356","0","169"
"131","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","122","358","18","230"
"132","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","92","349","0","142"
"135","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","71","345","0","153"
"136","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","93","342","0","195"
"133","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","83","342","0","130"
"134","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","90","361","0","181"
"137","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","150","382","52","296"
"138","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","76","350","0","175"
"139","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","70","338","0","163"
"140","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","72","365","0","137"
"142","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","80","339","0","185"
"143","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","59","339","0","167"
"141","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","136","364","12","292"
"144","7","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","100","354","0","230"
"145","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","157","532","90","9"
"146","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","157","583","94","5"
"147","9","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","160","604","91","8"
