evolution$generation,evolution$evaluated,tpsAuChamp,qPrésenceBrousse,fréquenceRéu,participants,probaDiscu,probaDenonce,objective$om_delatMil,objective$om_trees,evolution$samples,qPrésenceBrousse,om_underTrees,tpsAuChamp,participants,fréquenceRéu,nombreBergers,probaDiscu,SRepreZ,om_nbCoupe,mySeed,om_delatMil,SPop,om_charette,om_stockMil,coordination,nbSurveillants,nbProTGMax,om_trees,om_ticks,engagésInitiaux,probaDenonce,RNA,nbChampsVisités,om_delatArbres,nbCoupeurs,om_caughtCutter
100,376,50.14493647838557,0.5832797376936059,1.036616924064046,29.44990405981128,40.34181995990657,72.4697239177222,-12.179782608695803,118.0,1,"[0.5832797376936059]","[24.3]","[50.14493647838557]","[29.44990405981128]","[1.036616924064046]","[5.0]","[40.34181995990657]","[false]","[1920.0]","[-1708864713]","[-12.179782608695803]","[true]","[53.0]","[41918.71279999831]","[false]","[8.0]","[35.0]","[118.0]","[8396.0]","[40.0]","[72.4697239177222]","[true]","[5.0]","[-417.0]","[10.0]","[127.0]"
100,376,62.250863748806765,0.8,1.1058536417204672,24.04144231877181,50.88061377173053,20.0,78.28439560439551,117.0,1,"[0.8]","[23.56]","[62.250863748806765]","[24.04144231877181]","[1.1058536417204672]","[5.0]","[50.88061377173053]","[false]","[1692.0]","[262727801]","[78.28439560439551]","[true]","[58.0]","[41822.05839999809]","[false]","[8.0]","[35.0]","[117.0]","[8396.0]","[40.0]","[20.0]","[true]","[5.0]","[-418.0]","[10.0]","[82.0]"
100,376,40.61116002552695,0.4663473846956786,3.633890087845953,9.177668983802125,44.63676059679595,67.63204466653923,-1148.4744086021508,183.0,1,"[0.4663473846956786]","[27.689999999999998]","[40.61116002552695]","[9.177668983802125]","[3.633890087845953]","[5.0]","[44.63676059679595]","[false]","[1879.0]","[1642877493]","[-1148.4744086021508]","[true]","[52.0]","[42954.367199998196]","[false]","[8.0]","[35.0]","[183.0]","[8396.0]","[40.0]","[67.63204466653923]","[true]","[5.0]","[-352.0]","[10.0]","[122.0]"
100,376,33.44615488198046,0.2,3.943574129358688,17.41945921626015,26.74728768769247,50.5561243062415,-920.1512087912088,155.0,1,"[0.2]","[26.179999999999996]","[33.44615488198046]","[17.41945921626015]","[3.943574129358688]","[5.0]","[26.74728768769247]","[false]","[2067.0]","[-665418495]","[-920.1512087912088]","[true]","[52.0]","[43285.39599999836]","[false]","[8.0]","[35.0]","[155.0]","[8396.0]","[40.0]","[50.5561243062415]","[true]","[5.0]","[-380.0]","[10.0]","[177.0]"
100,376,23.13260616139985,0.2,2.897744615273533,19.768552366102824,40.22018317222285,20.50405338949923,-1155.5421505376344,301.0,1,"[0.2]","[33.35]","[23.13260616139985]","[19.768552366102824]","[2.897744615273533]","[5.0]","[40.22018317222285]","[false]","[1825.0]","[-1307302795]","[-1155.5421505376344]","[true]","[56.0]","[44565.4407999979]","[false]","[8.0]","[35.0]","[301.0]","[8396.0]","[40.0]","[20.50405338949923]","[true]","[5.0]","[-234.0]","[10.0]","[187.0]"
100,376,61.28871040127086,0.3858578653227992,1.6523958032640529,7.151019452142489,45.90389812962118,51.5652656588356,-60.458802035152644,178.5,2,"[0.3858578653227992,0.3858578653227992]","[26.44,27.62]","[61.28871040127086,61.28871040127086]","[7.151019452142489,7.151019452142489]","[1.6523958032640529,1.6523958032640529]","[5.0,5.0]","[45.90389812962118,45.90389812962118]","[false,false]","[1506.0,1457.0]","[2147114258,1898675789]","[-184.4702127659575,63.552608695652225]","[true,true]","[50.0,48.0]","[42712.23039999816,43454.66639999823]","[false,false]","[8.0,8.0]","[35.0,35.0]","[182.0,175.0]","[8396.0,8396.0]","[40.0,40.0]","[51.5652656588356,51.5652656588356]","[true,true]","[5.0,5.0]","[-353.0,-360.0]","[10.0,10.0]","[36.0,33.0]"
100,376,25.61403786104959,0.2898284755092996,2.1238983390714754,10.130256818031793,42.660963363039166,79.9416841236116,-125.3290721649484,129.0,1,"[0.2898284755092996]","[25.130000000000003]","[25.61403786104959]","[10.130256818031793]","[2.1238983390714754]","[5.0]","[42.660963363039166]","[false]","[1420.0]","[-833827196]","[-125.3290721649484]","[true]","[57.0]","[41494.03439999808]","[false]","[8.0]","[35.0]","[129.0]","[8396.0]","[40.0]","[79.9416841236116]","[true]","[5.0]","[-406.0]","[10.0]","[88.0]"
100,376,80.0,0.2,1.036126142185497,19.96806310746929,54.358233794375316,20.0,-1150.3097777777778,205.0,1,"[0.2]","[28.849999999999998]","[80.0]","[19.96806310746929]","[1.036126142185497]","[5.0]","[54.358233794375316]","[false]","[1688.0]","[-2040081515]","[-1150.3097777777778]","[true]","[45.0]","[43853.80399999826]","[false]","[8.0]","[35.0]","[205.0]","[8396.0]","[40.0]","[20.0]","[true]","[5.0]","[-330.0]","[10.0]","[59.0]"
100,376,42.476310830434514,0.266428421244388,3.661150091611761,12.394673607527817,23.215806718756447,66.13580019935972,-5.386713707345393,165.0,2,"[0.266428421244388,0.266428421244388]","[28.17,26.029999999999998]","[42.476310830434514,42.476310830434514]","[12.394673607527817,12.394673607527817]","[3.661150091611761,3.661150091611761]","[5.0,5.0]","[23.215806718756447,23.215806718756447]","[false,false]","[1972.0,2022.0]","[-1443239153,1595164553]","[-215.17890109890118,204.4054736842104]","[true,true]","[50.0,50.0]","[43498.98719999841,42684.1855999981]","[false,false]","[8.0,8.0]","[35.0,35.0]","[163.0,167.0]","[8396.0,8396.0]","[40.0,40.0]","[66.13580019935972,66.13580019935972]","[true,true]","[5.0,5.0]","[-372.0,-368.0]","[10.0,10.0]","[109.0,132.0]"
100,376,42.33431626980436,0.4554574360291769,3.238560982683401,20.13031551435251,38.79701426994568,49.90047360992831,-1152.3964444444443,795.0,1,"[0.4554574360291769]","[53.12]","[42.33431626980436]","[20.13031551435251]","[3.238560982683401]","[5.0]","[38.79701426994568]","[false]","[1900.0]","[224525442]","[-1152.3964444444443]","[true]","[42.0]","[46703.85679999698]","[false]","[8.0]","[35.0]","[795.0]","[8396.0]","[40.0]","[49.90047360992831]","[true]","[5.0]","[260.0]","[10.0]","[223.0]"
100,376,20.0,0.6264964594064164,2.2077050714932294,5.0,20.0,65.95760696969313,-1030.5610989010988,171.0,1,"[0.6264964594064164]","[27.55]","[20.0]","[5.0]","[2.2077050714932294]","[5.0]","[20.0]","[false]","[1259.0]","[-1735855553]","[-1030.5610989010988]","[true]","[53.0]","[43259.354399998185]","[false]","[8.0]","[35.0]","[171.0]","[8396.0]","[40.0]","[65.95760696969313]","[true]","[5.0]","[-364.0]","[10.0]","[25.0]"
