evolution$generation,evolution$evaluated,tpsAuChamp,qPrésenceBrousse,fréquenceRéu,probaDenonce,probaDiscu,nbProTGMax,objective$om_stockMil,objective$om_charette,evolution$samples,qPrésenceBrousse,om_underTrees,tpsAuChamp,participants,fréquenceRéu,nombreBergers,probaDiscu,om_nbCoupe,probaDenonce,mySeed,om_delatMil,SPop,om_charette,om_stockMil,nbSurveillants,nbProTGMax,om_trees,coordinationRNA,engagésInitiaux,nbChampsVisités,om_delatArbres,SReprez,nbCoupeurs,om_caughtCutter
33200,33200,64.95050536071933,0.0,1.8977854891931876,72.41795899536326,66.8984124155048,33.6409313622136,47742.51599999627,34.0,2,"[0.0,0.0]","[61.62,57.98]","[64.95050536071933,64.95050536071933]","[10.0,10.0]","[1.8977854891931876,1.8977854891931876]","[5.0,5.0]","[66.8984124155048,66.8984124155048]","[294.0,335.0]","[72.41795899536326,72.41795899536326]","[-1519967121,554171272]","[2550.323999998647,3523.1279999987382]","[true,true]","[46.0,34.0]","[47742.51599999627,48201.74959999651]","[1.0,1.0]","[33.6409313622136,33.6409313622136]","[1666.0,1582.0]","[true,true]","[9.0,9.0]","[93.0,93.0]","[1131.0,1047.0]","[false,false]","[10.0,10.0]","[241.0,241.0]"
33200,33200,56.51475445951094,0.583177841735592,9.972278659497945,88.85979232769,92.45104993372479,48.13479459436583,52209.90239999394,17.0,1,"[0.583177841735592]","[94.69]","[56.51475445951094]","[10.0]","[9.972278659497945]","[5.0]","[92.45104993372479]","[121.0]","[88.85979232769]","[-2139783444]","[7007.756999996302]","[true]","[17.0]","[52209.90239999394]","[1.0]","[48.13479459436583]","[6232.0]","[true]","[9.0]","[90.0]","[5697.0]","[false]","[10.0]","[250.0]"
33200,33200,96.11848719634399,0.5985757540970318,10.0,73.00417921132886,100.0,49.77712987525539,51649.757599994,36.0,1,"[0.5985757540970318]","[95.19999999999999]","[96.11848719634399]","[10.0]","[10.0]","[5.0]","[100.0]","[68.0]","[73.00417921132886]","[-1005505350]","[5971.163599996435]","[true]","[36.0]","[51649.757599994]","[1.0]","[49.77712987525539]","[6532.0]","[true]","[9.0]","[95.0]","[5997.0]","[false]","[10.0]","[250.0]"
33200,33200,85.40757554013231,0.19358456518011408,9.998299197905366,58.55630123633671,22.268051487728826,44.56156098029796,49343.323199995495,36.0,2,"[0.19358456518011408,0.19358456518011408]","[73.68,79.44]","[85.40757554013231,85.40757554013231]","[10.0,10.0]","[9.998299197905366,9.998299197905366]","[5.0,5.0]","[22.268051487728826,22.268051487728826]","[982.0,906.0]","[58.55630123633671,58.55630123633671]","[-1485152124,-1910253183]","[4531.23839999787,5257.523599997425]","[true,true]","[40.0,36.0]","[49343.323199995495,50188.172799995125]","[1.0,1.0]","[44.56156098029796,44.56156098029796]","[1699.0,2115.0]","[true,true]","[9.0,9.0]","[91.0,91.0]","[1164.0,1580.0]","[false,false]","[10.0,10.0]","[207.0,217.0]"
33200,33200,80.25247366134211,0.3477085278005626,7.850830105719161,54.59989970267023,34.04809942848419,23.909290657657756,42637.11039999808,36.0,3,"[0.3477085278005626,0.3477085278005626,0.3477085278005626]","[27.169999999999998,49.230000000000004,76.72]","[80.25247366134211,80.25247366134211,80.25247366134211]","[10.0,10.0,10.0]","[7.850830105719161,7.850830105719161,7.850830105719161]","[5.0,5.0,5.0]","[34.04809942848419,34.04809942848419,34.04809942848419]","[1569.0,1051.0,374.0]","[54.59989970267023,54.59989970267023,54.59989970267023]","[-1144920804,583391547,739593140]","[-2895.2499999995125,-157.06340000021737,6428.331399997573]","[true,true,true]","[36.0,44.0,39.0]","[42637.11039999808,45333.91839999738,50983.94399999528]","[1.0,1.0,1.0]","[23.909290657657756,23.909290657657756,23.909290657657756]","[214.0,759.0,2145.0]","[true,true,true]","[9.0,9.0,9.0]","[91.0,93.0,91.0]","[-321.0,224.0,1610.0]","[false,false,false]","[10.0,10.0,10.0]","[176.0,205.0,213.0]"
33200,33200,59.6228977403237,0.0,10.0,100.0,99.11033111265806,6.196261542600675,47568.73839999712,47.0,1,"[0.0]","[49.02]","[59.6228977403237]","[10.0]","[10.0]","[5.0]","[99.11033111265806]","[274.0]","[100.0]","[1696350144]","[2598.6511999994254]","[true]","[47.0]","[47568.73839999712]","[1.0]","[6.196261542600675]","[781.0]","[true]","[9.0]","[95.0]","[246.0]","[false]","[10.0]","[240.0]"
33200,33200,15.320869421609423,0.9931081096619776,8.077395806723173,5.411294404044343,56.22456285554771,45.08147749404414,50556.260799995296,44.0,1,"[0.9931081096619776]","[75.58]","[15.320869421609423]","[10.0]","[8.077395806723173]","[5.0]","[56.22456285554771]","[1711.0]","[5.411294404044343]","[-1055379391]","[4648.55079999764]","[true]","[44.0]","[50556.260799995296]","[1.0]","[45.08147749404414]","[1642.0]","[true]","[9.0]","[92.0]","[1107.0]","[false]","[10.0]","[172.0]"
33200,33200,75.52456071225964,0.553853526688044,1.7856470408161145,98.80810070144939,85.43615635836672,9.294206013932886,48678.26079999595,33.0,4,"[0.553853526688044,0.553853526688044,0.553853526688044,0.553853526688044]","[67.80000000000001,68.17999999999999,71.02000000000001,69.65]","[75.52456071225964,75.52456071225964,75.52456071225964,75.52456071225964]","[10.0,10.0,10.0,10.0]","[1.7856470408161145,1.7856470408161145,1.7856470408161145,1.7856470408161145]","[5.0,5.0,5.0,5.0]","[85.43615635836672,85.43615635836672,85.43615635836672,85.43615635836672]","[46.0,69.0,88.0,74.0]","[98.80810070144939,98.80810070144939,98.80810070144939,98.80810070144939]","[88565584,-1315053041,-1881535040,-1304266515]","[4259.742199998167,3621.8481999985015,4775.628799997932,3967.5879999983663]","[true,true,true,true]","[38.0,49.0,48.0,33.0]","[49455.50239999583,48844.27599999612,50099.7815999956,48678.26079999595]","[1.0,1.0,1.0,1.0]","[9.294206013932886,9.294206013932886,9.294206013932886,9.294206013932886]","[1427.0,1562.0,1482.0,1537.0]","[true,true,true,true]","[9.0,9.0,9.0,9.0]","[92.0,96.0,94.0,95.0]","[892.0,1027.0,947.0,1002.0]","[false,false,false,false]","[10.0,10.0,10.0,10.0]","[250.0,250.0,249.0,250.0]"
33200,33200,91.82028335125617,0.41159066202279815,2.7831792929819743,57.62396301050165,95.45148136287602,50.0,52118.25599999404,35.0,3,"[0.41159066202279815,0.41159066202279815,0.41159066202279815]","[93.07,93.16,91.67999999999999]","[91.82028335125617,91.82028335125617,91.82028335125617]","[10.0,10.0,10.0]","[2.7831792929819743,2.7831792929819743,2.7831792929819743]","[5.0,5.0,5.0]","[95.45148136287602,95.45148136287602,95.45148136287602]","[180.0,173.0,190.0]","[57.62396301050165,57.62396301050165,57.62396301050165]","[2108001787,214584016,2077328714]","[7950.325199996012,8475.413999996003,6148.69719999643]","[true,true,true]","[35.0,38.0,36.0]","[52437.015199993875,53022.70079999376,52118.25599999404]","[1.0,1.0,1.0]","[50.0,50.0,50.0]","[5398.0,5265.0,5217.0]","[true,true,true]","[9.0,9.0,9.0]","[97.0,89.0,93.0]","[4863.0,4730.0,4682.0]","[false,false,false]","[10.0,10.0,10.0]","[245.0,247.0,243.0]"
33200,33200,100.0,0.916406639674443,7.959904846003274,0.0,19.47817181070876,45.53136776620651,41252.14799999814,56.0,1,"[0.916406639674443]","[24.14]","[100.0]","[10.0]","[7.959904846003274]","[5.0]","[19.47817181070876]","[1251.0]","[0.0]","[1704936762]","[-3853.6559999996025]","[true]","[56.0]","[41252.14799999814]","[1.0]","[45.53136776620651]","[132.0]","[true]","[9.0]","[88.0]","[-403.0]","[false]","[10.0]","[87.0]"
